band,parcel_idx,parcel_name,tau_mean,tau_median,tau_std,tau_count,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean
betalow,61,rh.FreeSurfer_Defined_Medial_Wall-4,0.20060622005083112,0.1996045643471555,0.012938540850593065,267,0.6188437114876447,0.6203242967571801,0.010179868635480328,0.8714037625167825,0.9991122506579992,1.0
betalow,62,rh.17Networks_6-1,0.22368526988876392,0.22210445852060343,0.011102590709183818,267,0.597205424594879,0.6049667196115079,0.037554953533898205,-0.469035495511531,0.9996207124102806,1.0
betalow,63,rh.17Networks_6-4,0.217205703220591,0.21585286011237123,0.012342085527897128,267,0.6117700042235853,0.6165092760140818,0.02887479823974074,0.2582545611361865,0.9995180718853819,1.0
betalow,64,rh.17Networks_6-8,0.20904618516100243,0.20861067919394885,0.010314632005170299,267,0.6028992465450403,0.6051189150856116,0.01888807147539718,0.8266344158825701,0.9993308801841779,1.0
betalow,65,rh.17Networks_6-5,0.2117875568474226,0.21113336754626355,0.013155139248251554,267,0.6177608855542209,0.618650468136839,0.011310238852467748,0.6052669819054289,0.9994381925549247,1.0
betalow,66,rh.17Networks_12-4,0.21800394435217896,0.2176177545580449,0.010660223757651079,267,0.6010196120930983,0.6061468031255763,0.03027635194418904,0.42170911300607367,0.9995412072269502,1.0
betalow,67,rh.17Networks_12-9,0.21009603620975265,0.20836892322503436,0.012843932057178887,267,0.6155701691639343,0.6173138856655462,0.01637366694432642,0.6542776273987636,0.9993297630843404,1.0
betalow,68,rh.17Networks_12-8,0.2138110951554246,0.21239396670967373,0.01210551711492445,267,0.6162576760989948,0.6192431950944142,0.022815946956724148,0.5336288432033152,0.9994848564824247,1.0
betalow,69,rh.17Networks_12-2,0.21151177882703773,0.2112728123873307,0.013132283334058865,267,0.6196181984785218,0.62111979313936,0.011414485852320579,0.6473958543213573,0.9994657818321963,1.0
betalow,70,rh.17Networks_12-6,0.2087162888518905,0.2086454227092747,0.010615632601361565,267,0.6041773673306797,0.6058319737750921,0.017224726546226355,0.8285629580919965,0.9993086247607992,1.0
betalow,71,rh.17Networks_12-10,0.1988679900874801,0.19878340757360982,0.013685343700286894,267,0.6226189477484172,0.6239033891999697,0.010756414508003137,0.8909412406407313,0.9991127071673868,1.0
betalow,72,rh.17Networks_10-2,0.20242084480784903,0.2016489574480168,0.01464464369935601,267,0.6205977897384168,0.6222098745566657,0.01100375460787863,0.8190446078414176,0.9991675939908274,1.0
betalow,73,rh.17Networks_5-3,0.2140969339542717,0.21313217900381431,0.012243255749873165,267,0.613367573305021,0.6176902979578989,0.028060252352323598,0.5315006232826867,0.9994605803142748,1.0
